Station 1,Station 2,Time
1,2,3
2,3,2
3,4,3
4,5,2
5,6,3
6,7,3
7,8,3
8,9,2
9,10,2
10,11,3
11,12,4
12,13,3
13,14,2
14,15,3
15,16,5
16,17,2
17,18,2
18,19,2
19,20,2
20,21,3
21,22,6
22,23,5
23,24,5
24,25,5
25,26,5
26,27,5
27,28,5
28,29,6
29,30,9
30,31,8
31,32,8
32,33,15
33,34,6
34,35,6
35,36,9
36,37,13
38,39,3
39,40,2
40,41,3
41,42,2
42,43,2
43,44,3
44,45,3
45,46,3
46,47,4
47,48,4
48,49,3
49,50,3
50,51,5
51,52,3
52,53,3
53,54,3
54,55,3
55,56,4
56,57,4
57,58,6
58,59,4
59,60,5
60,61,4
61,62,3
62,63,6
63,64,5
64,65,3
65,66,6
66,67,5
67,68,9
68,69,4
69,70,4
70,71,7
71,72,9
72,73,5
73,74,7
74,75,3
75,76,4
76,77,6
63,78,5
78,79,3
79,80,5
80,81,8
81,82,8
82,83,6
83,84,9
84,85,7
85,86,5
86,87,6
87,88,12
89,90,3
90,91,2
91,92,2
92,93,2
93,94,2
94,95,3
95,96,3
96,97,5
97,98,2
98,99,4
99,100,3
100,101,2
101,102,3
102,103,5
103,104,2
104,105,2
105,106,2
96,107,4
107,108,3
108,109,3
109,110,3
110,111,2
111,112,3
112,113,3
113,114,8
114,115,3
115,116,3
116,117,3
117,118,3
118,119,4
119,120,4
120,121,3
121,122,3
122,123,3
124,125,5
125,126,3
126,127,3
127,128,3
128,129,3
129,130,4
130,131,3
131,132,3
130,133,5
133,134,3
134,135,3
135,136,4
136,137,4
137,138,3
138,139,3
139,140,3
141,142,null
142,143,null
143,144,null
144,145,null
145,146,null
146,147,null
147,148,null
148,149,null
150,151,null
151,152,null
152,153,null
153,154,null
155,156,3
156,157,2
157,158,2
158,159,2
159,160,2
160,161,2
161,162,2
162,163,3
163,164,4
164,165,3
165,166,2
167,168,2
168,169,3
169,170,2
170,171,3
171,172,4
172,173,4
173,174,2
174,175,2
175,176,2
176,177,3
177,178,3
178,179,2
179,180,4
180,181,2
181,182,3
182,183,3
